BTC TOP 10000 Holders Snapshot (10th August);ETH TOP 10000 Holders Snapshot (10th August);BNB TOP 10000 Holders Snapshot (10th August);Kaspa Dead wallets (Last 21 characters of biggest BTC+ETH+BNB Addresses merged + lowercase);Reiceived amout
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo;0x00000000219ab540356cbb839cbe05303d7705fa;0x0000000000000000000000000000000000001004;kaspa:3xr7ycvpfhocnxv4twseocbb839cbe05303d7705fa000000000000000001004;19.260.416,00
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0xf977814e90da44bfa03b6295a0616a897441acec;kaspa:pmv24sq90ecnvqqjwvw97e5c4f27ead9083c756cc2b6295a0616a897441acec;19.260.416,00
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6;0xbe0eb53f46cd790cd13851d5eff43d12404d33e8;0x000000000000000000000000000000000000dead;kaspa:b47ewrpfwyb5jq2djxrp6851d5eff43d12404d33e800000000000000000dead;19.260.416,00
bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2;0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a;0x835678a611b28684005a5e2233695fb6cbbb0007;kaspa:9zqpjwe6pdgmxy98859v2054ce80a67ed4dbd7ed3aa5e2233695fb6cbbb0007;19.260.416,00
bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt;0x40b38765696e3d5d8d9d834d8aad4bb6e418e489;0xec06cb25d9add4bdd67b61432163aff9028aa921;kaspa:86etajv6wquslv8uxwcztd834d8aad4bb6e418e489b61432163aff9028aa921;19.260.416,00
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF;0xda9dfa130df4de4673b89022ee50ff26f6ea73cf;0x2804ada1c219e50898e75b2bd052030580f4fbac;kaspa:bzjqqmjjrccrhgw9sb6uf89022ee50ff26f6ea73cf75b2bd052030580f4fbac;19.260.416,00
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g;0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503;0x17592497267112e1d764ed49bb0c78f8073e9d7b;kaspa:nkfvt53433thk0f5qst4g9e7b4dab3c24507a6d5034ed49bb0c78f8073e9d7b;19.260.416,00
bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4;0x49048044d57e1c92a77f79988d21fa8faf74e97e;0x487f2663c8e134eb98495249bba5c602a89ceaa7;kaspa:eh5tx44reyn2k7sfc27a4f79988d21fa8faf74e97e95249bba5c602a89ceaa7;19.260.416,00
3E97AjYaCq9QYnfFMtBCYiCEsN956Rvpj2;0xa6715eafe5d215b82cb9e90a9d6c8970a7c90033;0xf378f76a9c334f9c337bd3aa1704278d7fd3f0e1;kaspa:nffmtbcyicesn956rvpj29e90a9d6c8970a7c90033bd3aa1704278d7fd3f0e1;19.260.416,00
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr;0xbeb5fc579115071764c7423a4f12edde41f106ed;0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c;kaspa:d0qn5kq32vwnwqqgv4rzr7423a4f12edde41f106edbaebf2de08d9173bc095c;19.260.416,00
bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6;0xe92d1a43df510f82c66382592a047d288f85226f;0x6cbeecb3a0591eaab5d4a6380f0bbbafb06859f2;kaspa:j49j0av5nml45x9ek9hz6382592a047d288f85226f4a6380f0bbbafb06859f2;19.260.416,00
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb;0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea;0xa07c5b74c9b40447a954e1466938b865b6bbea36;kaspa:emsask2jkn69lweykzexb043706e7c5bb1f1a56eea4e1466938b865b6bbea36;19.260.416,00
1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca;0x30e0be360d1e7c6dd3f7c54e2f098b9cab1a9227;kaspa:cczrvulmv7iqphsabgujpda619c4fc9d197c8affca7c54e2f098b9cab1a9227;19.260.416,00
bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t6f65;0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae;0xefbb75e446ec2d8493b3d4d91ac3118953f69b55;kaspa:g3aymxx7jlesv4q4t6f6528d9ec85e40f4cb697bae3d4d91ac3118953f69b55;19.260.416,00
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC;0x3bfc20f0b9afcace800d73d2191166ff16540258;0x2d09c57cb8eaf970deeaf30546ec4dc3781c63cf;kaspa:yyndeypunztiyzvfbeqecd73d2191166ff16540258af30546ec4dc3781c63cf;19.260.416,00
1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA;0xf977814e90da44bfa03b6295a0616a897441acec;0xbe7e6c64fbe05fcdac6d11e8cc83cdf5e1a32399;kaspa:nsbxeweh6zan8qgmsdmtab6295a0616a897441acecd11e8cc83cdf5e1a32399;19.260.416,00
bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr;0x0e58e8993100f1cbe45376c410f97f4893d9bfcd;0x4afc633e7b6beb8e552ccddbe06cca3754991e9a;kaspa:s5hjxwqhsgxvavq3qfgpr376c410f97f4893d9bfcdccddbe06cca3754991e9a;19.260.416,00
bc1qs5vdqkusz4v7qac8ynx0vt9jrekwuupx2fl5udp9jql3sr03z3gsr2mf0f;0xafcd96e580138cfa2332c632e66308eacd45c5da;0x8e01cf1c95fe6699c06aac0a9f3e33297778d682;kaspa:dp9jql3sr03z3gsr2mf0f2c632e66308eacd45c5daaac0a9f3e33297778d682;19.260.416,00
1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os;0x8103683202aa8da10536036edef04cdd865c225e;0xb4c7b55664622ed960b3418e626d868a2151c470;kaspa:thx2y8c2d47qqhakkc5os6036edef04cdd865c225e3418e626d868a2151c470;19.260.416,00
3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd;0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c;0xc437593d9c296bf9a5002522a86dad8a4d4af808;kaspa:z5zsc8qf61zw18xrp5pgd9713f3a5c7a9aedce193c02522a86dad8a4d4af808;19.260.416,00
3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a;0x8696e84ab5e78983f2456bcb5c199eea9648c8c2;0xf1e586c740c2d7622ea4114a7ee0033fbfbc8563;kaspa:h71j7kbj8gpeaguo1fw6a56bcb5c199eea9648c8c24114a7ee0033fbfbc8563;19.260.416,00
bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug;0x0a4c79ce84202b03e95b7a692e5d728d83c44c76;0x857afcc43ba66cfab52ed8d92c01bda3072705d0;kaspa:qtyt38mm4e2c4h3mxjkugb7a692e5d728d83c44c76ed8d92c01bda3072705d0;19.260.416,00
bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqntpens;0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9;0x831d7345efc4a0ad0056ec98d3a0fd35ae4790a8;kaspa:pj2530f4f7tjwrqntpens8348e3e7b1a251080ffb96ec98d3a0fd35ae4790a8;19.260.416,00
bc1q26tsxc0ge7phvcr2kyczexqf5pcj8rk79cqk90h34c30dn9dskeq3gmw3f;0x539c92186f7c6cc4cbf443f26ef84c595babbca1;0xe48ff82faa5aab796bb7e1f2208cb43008462022;kaspa:0h34c30dn9dskeq3gmw3f443f26ef84c595babbca17e1f2208cb43008462022;19.260.416,00
12Gws9EsEiDZLinu2SWkHdk7TcobjTau9u;0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f;0x57d6be3ba78e611e71e8de981309f85ee5cb67e4;kaspa:inu2swkhdk7tcobjtau9u726a1ccf25826c78c6d7f8de981309f85ee5cb67e4;19.260.416,00
12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx;0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f;0xdb92739a910f9261b62ffcd536eeeac5df8461b4;kaspa:mplvy4zc6y4ruuueug8fx84c60b09859f80f3bd10fffcd536eeeac5df8461b4;19.260.416,00
bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4;0x1b3cb81e51011b549d78bf720b0d924ac763a7c2;0x489a8756c18c0b8b24ec2a2b9ff3d4d447f79bec;kaspa:ye8svce70nppwtaxwdrp48bf720b0d924ac763a7c2c2a2b9ff3d4d447f79bec;19.260.416,00
3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B;0x220866b1a2219f40e72f5c628b65d54268ca3a9d;0x6006a1d3e973f2e4e575fc006a56396ebefc8dbd;kaspa:ftvakh5txmeneyf5pt61bf5c628b65d54268ca3a9d5fc006a56396ebefc8dbd;19.260.416,00
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr;0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d;0x5a52e96bacdabb82fd05763e25335261b270efcb;kaspa:2txkycwbnpn8kfyian1dra19bc4bed56d045581f2d5763e25335261b270efcb;19.260.416,00
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv;0xe3f8250bdc233d93875c15c25d725fd509192d60;0x00389542170d59184dc056f942b3a8234d5318c9;kaspa:zoerhmwnkstey55yebqkvc15c25d725fd509192d60056f942b3a8234d5318c9;19.260.416,00
39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw;0xd19d4b5d358258f05d7b411e21a1460d11b0876f;0x3890f2104045548ba7d933740a440405d58cc4b3;kaspa:ttjrsb1ppz5kdac1ikbywb411e21a1460d11b0876f933740a440405d58cc4b3;19.260.416,00
bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9;0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28;0xf7c5625578bd28777a69d7b0bb3e3c2292bbd560;kaspa:ceg9z5knl2gkn220lk7a93d9e050ff124e7c3fdd289d7b0bb3e3c2292bbd560;19.260.416,00
17MWdxfjPYP2PYhdy885QtihfbW181r1rn;0xd3a22590f8243f8e83ac230d1842c9af0404c4a1;0x8894e0a0c962cb723c1976a4421c95949be2d4e3;kaspa:yhdy885qtihfbw181r1rnc230d1842c9af0404c4a1976a4421c95949be2d4e3;19.260.416,00
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67;0xf3b0073e3a7f747c7a38b36b805247b222c302a3;0xa7c0d36c4698981fab42a7d8c783674c6fe2592d;kaspa:o4khkomqwz4vby2nzmj678b36b805247b222c302a32a7d8c783674c6fe2592d;19.260.416,00
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C;0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4;0x7597e59607a1e91e5b4af6b63c3a0c5070445a52;kaspa:kwkvxsyw8scd3kunwoz1c02bea49a2935bcd2dfcf4af6b63c3a0c5070445a52;19.260.416,00
15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv;0x9e927c02c9eadae63f5efb0dd818943c7262fb8e;0x058a871358c1b01039a265635ea282c3f435a9ed;kaspa:p2jl2n5mkb2mcfglcnhxvefb0dd818943c7262fb8e265635ea282c3f435a9ed;19.260.416,00
bc1qhxf9ckyz7sw8h6vkvdlffntmsu6fz8m3pdzgvw;0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4;0x8370245e6b7ee1b3051fd6ceeb766a5443e46934;kaspa:dlffntmsu6fz8m3pdzgvw176d7dbd20b4897bc7ec4fd6ceeb766a5443e46934;19.260.416,00
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j;0x2f2d854c1d6d5bb8936bb85bc07c28ebb42c9b10;0x0966602e47f6a3ca5692529f1d54ecd1d9b09175;kaspa:9rlhxlmhhto133j9rf97jbb85bc07c28ebb42c9b102529f1d54ecd1d9b09175;19.260.416,00
bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge3gvh;0x999e77c988c4c1451d3b1c104a6cca7813a9946e;0x9c065e07da5f95e11c0baefdaac648dff6df4bfc;kaspa:lftvxzfke2u6mqsge3gvhb1c104a6cca7813a9946ebaefdaac648dff6df4bfc;19.260.416,00
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn;0x8484ef722627bf18ca5ae6bcf031c23e6e922b30;0x0fab00071be18caad4c9984ec68e860e84c68dad;kaspa:qyme2d4d6aqjsgg6yenrnae6bcf031c23e6e922b309984ec68e860e84c68dad;19.260.416,00
3HfD4pvF43jdu9dzVMEr1b8AnDHooRGc5t;0xa160cdab225685da1d56aa342ad8841c3b53f291;0x5d84ac44169b578033b33630bda4a710106b3e00;kaspa:9dzvmer1b8andhoorgc5t6aa342ad8841c3b53f29133630bda4a710106b3e00;19.260.416,00
bc1qngydl7hmgdtmuqjmtsyj3pcwszv0yn5mj6kz4c;0xfd898a0f677e97a9031654fc79a27cb5e31da34a;0xd38ae55b29ec84d9633d166bae977fa4618bf621;kaspa:syj3pcwszv0yn5mj6kz4c654fc79a27cb5e31da34ad166bae977fa4618bf621;19.260.416,00
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW;0x701c484bfb40ac628afa487b6082f084b14af0bd;0x19a96b6de86fad8c6603d3c35692cf32e4e55ac2;kaspa:nuqryg8xuozwlqozu5zgwa487b6082f084b14af0bd3d3c35692cf32e4e55ac2;19.260.416,00
